original_path,final_path,action,notes
tsconfig.json,tsconfig.json,content_replaced,File contained ~49000 stray trailing characters (files 3-50 content leaked in); replaced with clean verified content
components.js,components.json,wrong_extension_fixed,Was JSON content saved as .js; replaced with correctly named .json
lighthouserc.js,lighthouserc.json,wrong_extension_fixed,Was JSON content saved as .js; replaced with correctly named .json
firebase.js,firebase.json,wrong_extension_fixed,Was JSON content saved as .js with .editorconfig content leaked on; replaced with clean .json
.vscode/settings.js,.vscode/settings.json,wrong_extension_fixed,Was JSON content saved as .js; replaced with correctly named .json
.vscode/launch.js,.vscode/launch.json,wrong_extension_fixed,Was JSON content saved as .js; replaced with correctly named .json
.vscode/tasks.js,.vscode/tasks.json,wrong_extension_fixed,Was JSON content saved as .js with snippet content leaked on; replaced with clean .json
.vscode/extensions.js,.vscode/extensions.json,wrong_extension_fixed,Was JSON content saved as .js; replaced with correctly named .json
.github/pull_request_template.md,.github/pull_request_template.md,content_fixed,Had CODEOWNERS content leaked onto the end; restored to clean content
(missing),.github/CODEOWNERS,file_restored,File was completely missing from repo; content had leaked into pull_request_template.md; restored as separate file
.github/FUNDING.yml,.github/FUNDING.yml,yaml_quote_fixed,Closing curly quote broke YAML string; fixed to straight quote
.github/dependabot.yml,.github/dependabot.yml,yaml_quote_fixed,Closing curly quote broke YAML string; fixed to straight quote
.github/workflows/release.yml,.github/workflows/release.yml,yaml_quote_fixed,Closing curly quote broke YAML string; fixed to straight quote
.github/workflows/lighthouse.yml,.github/workflows/lighthouse.yml,yaml_quote_fixed,Closing curly quote broke YAML string; fixed to straight quote
.github/workflows/firebase-emulator-tests.yml,.github/workflows/firebase-emulator-tests.yml,yaml_quote_fixed,Closing curly quote broke YAML string; fixed to straight quote
.github/workflows/firebase-hosting.yml,.github/workflows/firebase-hosting.yml,yaml_indent_fixed,projectId line had incorrect indentation breaking YAML block mapping; re-indented
components/disputes/DisputeAnalyticsCards.tsx,components/disputes/DisputeAnalyticsCards.tsx,import_path_fixed,"Imported MetricCard from nonexistent components/dashboard/ folder; corrected to components/ui/MetricCard, title prop renamed to label"
(missing),components/reviews/ReviewRatingBadge.tsx,file_created,Component was imported by 2 real files but never existed in source material; built real implementation matching sibling badge component style
components/reviews/index.ts,components/reviews/index.ts,barrel_regenerated,Regenerated to export only components that actually exist on disk (30 exports); previously referenced 4 nonexistent modules
components/warranty/index.ts,components/warranty/index.ts,barrel_regenerated,Regenerated to export only components that actually exist on disk (26 exports); previously referenced 10 nonexistent modules
components/campaign/CampaignCard.ts,components/campaign/CampaignCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/campaign/CampaignList.ts,components/campaign/CampaignList.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/campaign/CampaignStatusBadge.ts,components/campaign/CampaignStatusBadge.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/campaign/CampaignEditor.ts,components/campaign/CampaignEditor.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderCard.ts,components/custom-orders/CustomOrderCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderQuoteForm.ts,components/custom-orders/CustomOrderQuoteForm.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderCancellationDialog.ts,components/custom-orders/CustomOrderCancellationDialog.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderQuoteRevisionDialog.ts,components/custom-orders/CustomOrderQuoteRevisionDialog.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderDetailShell.ts,components/custom-orders/CustomOrderDetailShell.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderQuoteCard.ts,components/custom-orders/CustomOrderQuoteCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderTimeline.ts,components/custom-orders/CustomOrderTimeline.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderSummaryAside.ts,components/custom-orders/CustomOrderSummaryAside.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderProductionUpdateForm.ts,components/custom-orders/CustomOrderProductionUpdateForm.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderReferenceGallery.ts,components/custom-orders/CustomOrderReferenceGallery.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderDecisionPanel.ts,components/custom-orders/CustomOrderDecisionPanel.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderList.ts,components/custom-orders/CustomOrderList.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderProductionUpdateCard.ts,components/custom-orders/CustomOrderProductionUpdateCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderProductionTimeline.ts,components/custom-orders/CustomOrderProductionTimeline.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderRequestForm.ts,components/custom-orders/CustomOrderRequestForm.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderStatusBadge.ts,components/custom-orders/CustomOrderStatusBadge.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderDetailsHeader.ts,components/custom-orders/CustomOrderDetailsHeader.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/custom-orders/CustomOrderPaymentSummary.ts,components/custom-orders/CustomOrderPaymentSummary.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/SupportTicketCard.ts,components/admin/SupportTicketCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/SellerApplicationCard.ts,components/admin/SellerApplicationCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminOrderCard.ts,components/admin/AdminOrderCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/SellerApplicationList.ts,components/admin/SellerApplicationList.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/PlatformSettingsForm.ts,components/admin/PlatformSettingsForm.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminPayoutList.ts,components/admin/AdminPayoutList.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminShell.ts,components/admin/AdminShell.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminMetricGrid.ts,components/admin/AdminMetricGrid.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminNavigation.ts,components/admin/AdminNavigation.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AuditLogCard.ts,components/admin/AuditLogCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/StudioStatusBadge.ts,components/admin/StudioStatusBadge.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminSection.ts,components/admin/AdminSection.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AuditLogList.ts,components/admin/AuditLogList.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminEmptyState.ts,components/admin/AdminEmptyState.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminUserRow.ts,components/admin/AdminUserRow.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/UserRoleBadge.ts,components/admin/UserRoleBadge.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/ProductModerationCard.ts,components/admin/ProductModerationCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/SupportTicketList.ts,components/admin/SupportTicketList.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminStudioCard.ts,components/admin/AdminStudioCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminSearchToolbar.ts,components/admin/AdminSearchToolbar.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminUserList.ts,components/admin/AdminUserList.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/UserStatusBadge.ts,components/admin/UserStatusBadge.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/SellerApplicationStatusBadge.ts,components/admin/SellerApplicationStatusBadge.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminPayoutCard.ts,components/admin/AdminPayoutCard.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminStudioList.ts,components/admin/AdminStudioList.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/AdminOrderList.ts,components/admin/AdminOrderList.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/UserRoleDialog.ts,components/admin/UserRoleDialog.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/SupportTicketStatusBadge.ts,components/admin/SupportTicketStatusBadge.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/ProductModerationStatusBadge.ts,components/admin/ProductModerationStatusBadge.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
components/admin/ProductModerationPanel.ts,components/admin/ProductModerationPanel.tsx,ts_to_tsx_rename,Stripped stray leading x artifact; renamed .ts to .tsx because file contains JSX
